Time,Hour,STA 2,STA 1
401,2020-10-30T12:08:39-07:00,13.33048071,0.008851799
402,2020-10-30T12:08:40-07:00,13.2471868,0.004815932
403,2020-10-30T12:08:41-07:00,12.70175718,0
404,2020-10-30T12:08:42-07:00,12.3147506,0.00471409
405,2020-10-30T12:08:43-07:00,13.49083698,0.009483437
406,2020-10-30T12:08:44-07:00,12.34538797,0.004666389
407,2020-10-30T12:08:45-07:00,12.93378393,0.004534033
408,2020-10-30T12:08:46-07:00,12.81577619,0
409,2020-10-30T12:08:47-07:00,12.42820391,0.004767958
410,2020-10-30T12:08:48-07:00,12.16299879,0.004710472
411,2020-10-30T12:08:49-07:00,12.32101053,0.009109538
412,2020-10-30T12:08:50-07:00,11.72745524,0
413,2020-10-30T12:08:51-07:00,11.58984635,0.00472447
414,2020-10-30T12:08:52-07:00,10.93629639,0.004351406
415,2020-10-30T12:08:53-07:00,12.86920966,0.005267583
416,2020-10-30T12:08:54-07:00,11.95407789,0.004750827
417,2020-10-30T12:08:55-07:00,11.94671965,0.008634821
418,2020-10-30T12:08:56-07:00,11.86732962,0
419,2020-10-30T12:08:57-07:00,11.3719643,0.004683386
420,2020-10-30T12:08:58-07:00,11.58126518,0.004675668
421,2020-10-30T12:08:59-07:00,11.64917316,0.004622413
422,2020-10-30T12:09:00-07:00,11.40574708,0.004837778
423,2020-10-30T12:09:01-07:00,11.87304676,0.004709914
424,2020-10-30T12:09:02-07:00,10.89168508,0.004780991
425,2020-10-30T12:09:03-07:00,11.64116629,0.008919616
426,2020-10-30T12:09:04-07:00,11.42063665,0
427,2020-10-30T12:09:05-07:00,11.07997872,0.008770183
428,2020-10-30T12:09:06-07:00,10.7880009,0
429,2020-10-30T12:09:07-07:00,10.71382113,0.009143252
430,2020-10-30T12:09:08-07:00,11.35443297,0
431,2020-10-30T12:09:09-07:00,10.94014051,0.004908583
432,2020-10-30T12:09:10-07:00,10.79624186,0.008091319
433,2020-10-30T12:09:11-07:00,10.17156458,0.004906914
434,2020-10-30T12:09:12-07:00,10.69391369,0
435,2020-10-30T12:09:13-07:00,10.9665963,0.005023644
436,2020-10-30T12:09:14-07:00,10.15167419,0.004657018
437,2020-10-30T12:09:15-07:00,10.43132584,0.004586323
438,2020-10-30T12:09:16-07:00,10.12068257,0.004734143
439,2020-10-30T12:09:17-07:00,5.012922779,0.004786018
440,2020-10-30T12:09:18-07:00,2.570615709,0.004175801
441,2020-10-30T12:09:19-07:00,2.936591369,0.005196856
442,2020-10-30T12:09:20-07:00,4.176245655,0.004670875
443,2020-10-30T12:09:21-07:00,13.04262694,0.004457693
444,2020-10-30T12:09:22-07:00,14.80422369,0.005224759
445,2020-10-30T12:09:23-07:00,14.17806774,0.004621401
446,2020-10-30T12:09:24-07:00,13.86403084,0.004841013
447,2020-10-30T12:09:25-07:00,13.85061151,0.004632823
448,2020-10-30T12:09:26-07:00,14.11524988,0.004841101
449,2020-10-30T12:09:27-07:00,10.17443358,0.004783335
450,2020-10-30T12:09:28-07:00,4.195843077,0.004508262
451,2020-10-30T12:09:29-07:00,3.639225833,0.0090734
452,2020-10-30T12:09:30-07:00,3.615012774,0.004573117
453,2020-10-30T12:09:31-07:00,12.11515262,0.005025146
454,2020-10-30T12:09:32-07:00,12.90971413,0
455,2020-10-30T12:09:33-07:00,13.99392705,0.009241964
456,2020-10-30T12:09:34-07:00,13.66828265,0.004672871
457,2020-10-30T12:09:35-07:00,13.27365229,0.004556594
